C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.07CEST10:33:57

 IdentList
----------

 #  ;        typed ident        ;            identifier             ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;   radvel   ;  Mag V  
1712;* tau CrB                  ;* tau CrB                          ;242.2429538510379 +36.4908705687333;-59.431 332.280     ;29.0217   ;-20.30      ;4.73     
1713;* 39 Cru                   ;* 39 Cru                           ;190.4857049264700 -59.6858206790300; -24.464 -4.226     ;3.8643    ;12.5        ;4.94     
1714;* kap Cen                  ;* kap Cen                          ;224.7903539092 -42.1041963664      ;  -17.62 -22.51     ;8.51      ;8.0         ;3.11     
1715;* kap Dra                  ;* kap Dra                          ;188.3705971535600 +69.7882388589500; -58.571 10.110     ;7.0093    ;-12.00      ;3.89     
1716;* iot CrB                  ;* iot CrB                          ;240.3606871635400 +29.8510609467600; -37.817 -7.016     ;8.7701    ;-20.80      ;4.971    
1717;* ups UMa                  ;* ups UMa                          ;147.7473252344596 +59.0387336232178;-294.441 -151.663   ;28.3783   ;27.30       ;3.81     
1718;* zet Vir                  ;* zet Vir                          ;203.6732973280300 -00.5958164161200;-276.903 44.621     ;43.7467   ;-13.2       ;3.38     
1719;* eps Mon                  ;* eps Mon                          ;095.9425 +04.5956                  ;            ~ ~     ;      ~   ;~           ;4.31     
1720;* pi.02 UMa                ;* pi.02 UMa                        ;130.0534048626200 +64.3279361786700; -59.861 26.544     ;13.2035   ;14.62       ;4.61     
1721;GES J12391734-6047080      ;Cl* Trumpler 20 PMF 167            ;189.8222804482800 -60.7855599339300;  -6.855 -1.037     ;0.5712    ;-12.55      ;     ~   
1722;Cl Trumpler 16             ;Cl Trumpler 16                     ;161.2530 -59.7000                  ;   -6.864 2.509     ;0.389     ;-25.0       ;5.0      
1723;* psi Vel A                ;* psi Vel A                        ;142.6746906603792 -40.4668308299269;-178.488 93.500     ;54.6059   ;~           ;3.91     
1724;* ksi02 Cen                ;* ksi02 Cen                        ;196.7276641554 -49.9062450900      ;  -26.15 -12.03     ;6.98      ;14.3        ;4.27     
1725;V* AR Cas                  ;V* AR Cas                          ;352.5080859874299 +58.5489200514200;   17.957 4.441     ;4.8857    ;-15.9       ;4.886    
1726;* bet LMi                  ;* bet LMi                          ;156.9708316646 +36.7072100106      ;-127.68 -110.31     ;21.19     ;8.52        ;4.21     
1727;* gam Pav                  ;* gam Pav                          ;321.6108540943637 -65.3661980715336; 80.815 800.573     ;108.0102  ;-30.70      ;4.22     
1728;* chi01 Hya                ;* chi01 Hya                        ;166.3329272868400 -27.2936240976500;-187.524 -3.099     ;22.5314   ;19.10       ;4.912    
1729;* b01 Car                  ;* b01 Car                          ;134.2434049237900 -59.2293376190000;   -8.651 9.224     ;5.1705    ;26.8        ;4.895    
1730;* zet Gem                  ;* zet Gem                          ;106.0272116263 +20.5702982975      ;    -7.29 -0.41     ;2.37      ;2.80        ;3.79     
1731;* omi Her                  ;* omi Her                          ;271.8856280275 +28.7624910675      ;     -0.02 8.55     ;9.65      ;-29.50      ;3.827    
1732;* omi UMa                  ;* omi UMa                          ;127.5661256526667 +60.7181682239411;-133.644 -107.664   ;17.9335   ;19.80       ;3.42     
1733;* bet And                  ;* bet And                          ;017.43301617 +35.62055765          ; 175.90 -112.20     ;16.52     ;0.06        ;2.05     
1734;* 132 Tau                  ;* 132 Tau                          ;087.2540456243800 +24.5674607511900;-13.211 -13.716     ;6.3528    ;15.80       ;4.873    
1735;* A Pup                    ;* A Pup                            ;107.2127844325 -39.6556549856      ;    -10.69 7.71     ;4.48      ;19.5        ;4.83     
1736;HR 5241                    ;HD 121474                          ;209.4120149041299 -63.6866983168400;-40.640 -33.433     ;15.2855   ;21.90       ;4.701    
1737;* omi02 Ori                ;* omi02 Ori                        ;074.0928165302554 +13.5144687843022;-74.408 -44.909     ;18.0904   ;2.54        ;4.06     
1738;* tau Boo                  ;* tau Boo                          ;206.8155757166775 +17.4568915432222;-468.923 63.469     ;64.0470   ;-16.03      ;4.49     
1739;* rho Cap                  ;* rho Cap                          ;307.21506035 -17.81368591          ;   -14.98 -7.29     ;33.04     ;18.4        ;     ~   
1740;* gam Vir                  ;* gam Vir                          ;190.4151176200630 -01.4494039524575;-605.176 85.701     ;83.1935   ;-19.8       ;2.74     
1741;* gam02 Nor                ;* gam02 Nor                        ;244.9600927738 -50.1555061878      ; -159.71 -52.25     ;25.33     ;-28.90      ;4.02     
1742;* zet Tel                  ;* zet Tel                          ;277.2077491646 -49.0705867292      ; 139.10 -228.66     ;25.84     ;-30.60      ;4.13     
1743;* tau Psc                  ;* tau Psc                          ;017.9150715278900 +30.0896379347200; 73.384 -26.707     ;18.9653   ;29.19       ;4.511    
1744;* del Tuc A                ;* del Tuc                          ;336.8331794778799 -64.9663602057600;   70.691 8.888     ;11.5977   ;4.10        ;4.49     
1745;* c02 Sco                  ;* c02 Sco                          ;243.0758537383 -27.9263738178      ;  -10.38 -23.94     ;6.81      ;0           ;4.568    
1746;* pi.02 Ori                ;* pi.02 Ori                        ;072.6530124271 +08.9001803703      ;    1.41 -29.91     ;14.53     ;24.40       ;4.35     
1747;* bet Crv                  ;* bet Crv                          ;188.5968118304 -23.3967604036      ;    1.11 -56.56     ;22.39     ;-7.34       ;2.64     
1748;* nu. Sco                  ;* nu. Sco                          ;242.99889865 -19.46070448          ;   -7.65 -23.71     ;6.88      ;2.4         ;4.00     
1749;* alf Ari                  ;* alf Ari                          ;031.79335710 +23.46241755          ; 188.55 -148.08     ;49.56     ;-14.412     ;2.01     
1750;* bet Lyr                  ;* bet Lyr                          ;282.5199801967 +33.3626694383      ;     1.90 -3.53     ;3.39      ;2.20        ;3.42     
1751;* omi Peg                  ;* omi Peg                          ;340.4391840352100 +29.3076752842600; -4.553 -36.588     ;11.6546   ;9.090       ;4.79     
1752;HR 7739                    ;HD 192685                          ;303.8162309258 +25.5919596931      ;     6.93 -3.89     ;3.29      ;-7.00       ;4.753    
1753;* omi Ser                  ;* omi Ser                          ;265.3536369279 -12.8753079478      ;  -72.90 -55.55     ;18.83     ;-30.20      ;4.228    
1754;* 24 CVn                   ;* 24 CVn                           ;203.6135803512 +49.0159740358      ;  -128.38 28.05     ;18.09     ;-18.3       ;4.70     
1755;* 47 Tau A                 ;* 47 Tau A                         ;063.4849393544200 +09.2638242640100; -9.823 -30.085     ;7.9622    ;-7.98       ;4.95     
1756;* gam UMi                  ;* gam UMi                          ;230.1821501629 +71.8340165447      ;   -17.73 17.90     ;6.70      ;-3.90       ;3.002    
1757;* alf Sgr                  ;* alf Sgr                          ;290.9715617846 -40.6159362378      ;  30.49 -119.21     ;17.94     ;-0.70       ;3.943    
1758;* lam Psc                  ;* lam Psc                          ;355.5116921592 +01.7800412250      ;-129.70 -154.80     ;30.59     ;10.00       ;4.51     
1759;* tau08 Eri                ;* tau08 Eri                        ;058.4279264844000 -24.6122281715400;  30.202 -6.579     ;9.9585    ;20.50       ;4.623    
1760;* psi01 Ori                ;* psi01 Ori                        ;081.1867807701300 +01.8464449765800;    1.047 0.433     ;2.9321    ;19.3        ;4.96     
1761;* ups02 Cas                ;* ups02 Cas                        ;014.1662714433700 +59.1810570241900;-92.611 -45.397     ;16.6465   ;-47.941     ;4.622    
1762;* eps Mus                  ;* eps Mus                          ;184.3928215029 -67.9607357306      ; -231.04 -26.39     ;10.82     ;7.10        ;4.02     
1763;* mu. Boo                  ;* mu.01 Boo                        ;231.1226311187300 +37.3771559226800;-149.928 89.573     ;26.5759   ;-8.60       ;     ~   
1764;* pi.06 Ori                ;* pi.06 Ori                        ;074.6370928727500 +01.7140135367600;  -0.589 -6.482     ;4.2093    ;14.73       ;4.459    
1765;* iot Cas A                ;* iot Cas A                        ;037.2663208745900 +67.4023867011500;  -12.304 6.586     ;22.0801   ;~           ;4.61     
1766;* d Car                    ;* d Car                            ;130.1542815908 -59.7610018642      ;     -6.63 5.32     ;2.26      ;12.90       ;4.313    
1767;* zet Lup                  ;* zet Lup                          ;228.0712331483 -52.0992477544      ; -112.92 -71.18     ;27.80     ;-10.00      ;3.41     
1768;* ome01 Aqr                ;* ome01 Aqr                        ;354.9461224562700 -14.2221536519800; 50.434 -49.097     ;24.9012   ;-2.00       ;4.977    
1769;* gam CrA A                ;* gam CrA A                        ;286.6050611831375 -37.0632756524867;45.737 -285.189     ;58.6956   ;-54.3       ;4.53     
1770;* l Vel                    ;* l Vel                            ;138.9029505760700 -38.5699429610100;-71.038 -10.227     ;14.1358   ;1.62        ;4.94     
1771;* a Pup                    ;* a Pup                            ;118.0542993801800 -40.5757817321400;  -11.774 7.368     ;8.9838    ;24.0        ;3.696    
1772;* kap Lib                  ;* kap Lib                          ;235.4866350847700 -19.6787929961400;-35.256 -111.519    ;10.7725   ;-4.50       ;4.72     
1773;* o Vir                    ;* o Vir                            ;203.5330493987 +03.6589649503      ;   45.51 -24.70     ;17.65     ;-7.986      ;4.94     
1774;* c01 Cen                  ;* c01 Cen                          ;220.9143317458 -35.1736551806      ; -61.46 -176.84     ;15.57     ;-38.10      ;4.05     
1775;* bet Peg                  ;* bet Peg                          ;345.94357275 +28.08278712          ;  187.65 136.93     ;16.64     ;7.99        ;2.42     
1776;* tet CMa                  ;* tet CMa                          ;103.5474952553600 -12.0386281010500;-136.654 -14.322    ;12.0676   ;96.20       ;4.08     
1777;* bet Cnc                  ;* bet Cnc                          ;124.1288375337 +09.1855438678      ;  -46.82 -49.24     ;10.75     ;22.94       ;3.520    
1778;* iot Leo                  ;* iot Leo                          ;170.98105304 +10.52950540          ;  141.45 -79.14     ;42.24     ;-11.80      ;     ~   
1779;* sig Cas                  ;* sig Cas                          ;359.75224248 +55.75492861          ;     8.14 -5.01     ;0.72      ;-12.60      ;     ~   
1780;** STF 100                 ;RX J0113.7+0734                    ;018.4425 +07.5794                  ;            ~ ~     ;      ~   ;~           ;     ~   
1781;* tau UMa                  ;* tau UMa                          ;137.7293415982000 +63.5136712128700;104.904 -69.926     ;27.6487   ;-8.59       ;4.640    
1782;* bet Aqr                  ;* bet Aqr                          ;322.8897154783 -05.5711755572      ;    18.77 -8.21     ;6.07      ;6.451       ;2.89     
1783;* ups01 Hya                ;* ups01 Hya                        ;147.8695576567 -14.8466030639      ;   18.88 -21.85     ;12.36     ;-14.34      ;4.11     
1784;CCDM J02592+2120AB         ;* eps Ari                          ;044.80302232 +21.34043264          ;   -13.74 -5.12     ;9.81      ;0.90        ;4.63     
1785;* eps Peg                  ;* eps Peg                          ;326.0464839142 +09.8750086533      ;     26.92 0.44     ;4.73      ;3.39        ;2.39     
1786;* eps UMi                  ;* eps UMi                          ;251.4926816843900 +82.0372582842900;   18.925 2.423     ;9.8637    ;-10.57      ;4.212    
1787;* alf Mic                  ;* alf Mic                          ;312.4920043548399 -33.7797039940000; 15.057 -23.524     ;8.2508    ;-14.50      ;4.890    
1788;* del Vel                  ;* del Vel                          ;131.17594410 -54.70881925          ;  28.99 -103.35     ;40.49     ;2.20        ;1.95     
1789;HR 6337                    ;* 32 Oph                           ;255.7827962586399 +14.0919483316900; 25.226 -62.651     ;8.0197    ;43.15       ;4.98     
1790;* alf Ret                  ;* alf Ret                          ;063.6061839087 -62.4738587975      ;    41.97 49.42     ;20.18     ;35.50       ;3.36     
1791;* alf CMi                  ;* alf CMi                          ;114.82549791 +05.22498756          ;-714.59 -1036.80    ;284.56    ;-15.908408  ;0.37     
1792;* sig Gem                  ;* sig Gem                          ;115.8280290804 +28.8835117197      ;  62.66 -230.32     ;26.08     ;44.15       ;4.29     
1793;* ksi Per                  ;* ksi Per                          ;059.7412595488 +35.7910314458      ;      3.62 1.74     ;2.62      ;65.40       ;4.060    
