C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST19:55:18

(Vmag <    6 | Bmag <  6 | Rmag <  6) & cat = '*' &
(pm <    0 | pm    > 0) &
(plx    > 0 | plx <    0) &
(radvel    > 0 | radvel <    0)
--------------------------------------------------------------------------------------------------------------------------------------------

Number of objects : 3017

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag B  ;  Mag V  ;  Mag R  
1487;* 70 Cyg                           ;*  ;321.8390245144000 +37.1167961410900;    2.233 1.969     ;2.4615    ;-18.60     ;5.142    ;5.293    ;     ~   
1488;* 69 Cyg                           ;Pu*;321.4459378731100 +36.6673844953500;   6.785 -9.369     ;0.4642    ;2.8        ;5.86     ;5.94     ;     ~   
1489;* 72 Cyg                           ;PM*;323.6941119390900 +38.5340667888800; 112.808 99.499     ;14.0094   ;-68.12     ;5.99     ;4.91     ;4.09     
1490;* 79 Cyg                           ;** ;325.8568847334200 +38.2835910788700;  34.385 -4.263     ;11.7145   ;-22.8      ;5.688    ;5.695    ;     ~   
1491;* 15 Lac                           ;PM*;343.0084743976400 +43.3124171825600; 109.428 23.678     ;9.3012    ;-19.21     ;6.497    ;4.938    ;     ~   
1492;* 13 Lac                           ;*  ;341.0228279877500 +41.8192348147700;   -9.143 3.370     ;11.5268   ;12.73      ;6.04     ;5.08     ;     ~   
1493;* 14 Lac                           ;EB*;342.5907439855100 +41.9533948334000;   5.105 -1.666     ;2.0266    ;-15.80     ;5.961    ;5.910    ;     ~   
1494;* 16 Lac                           ;bC*;344.0984580346400 +41.6038745779000;  -1.639 -4.319     ;2.2387    ;-12.45     ;5.436    ;5.587    ;     ~   
1495;* omi And                          ;Be*;345.4802691375 +42.3259814953      ;     22.99 0.88     ;4.75      ;-14.00     ;3.53     ;3.62     ;3.61     
1496;* 6 And                            ;PM*;347.6135049992400 +43.5440372321200;-211.689 -144.535   ;35.5518   ;-32.40     ;6.38     ;     ~   ;5.6      
1497;* 9 And                            ;EB*;349.5971759605600 +41.7736678533000; -10.430 -9.873     ;7.1328    ;-3.9       ;6.180    ;5.970    ;     ~   
1498;* 10 And                           ;*  ;349.9684390961700 +42.0780698961400;   40.727 6.291     ;6.8444    ;-1.00      ;7.294    ;5.789    ;     ~   
1499;* 13 And                           ;a2*;351.7808338197400 +42.9120099090400;  87.132 17.127     ;10.3618   ;-8.10      ;5.726    ;5.736    ;     ~   
1500;* iot And                          ;*  ;354.5341720763 +43.2680735778      ;    27.64 -1.02     ;6.53      ;-0.5       ;4.18     ;4.29     ;4.29     
1501;* kap And                          ;PM*;355.1021151333 +44.3339323875      ;   80.73 -18.70     ;19.37     ;-12.70     ;4.06     ;4.14     ;4.15     
1502;* 39 And                           ;*  ;015.7260612759800 +41.3452135501500;-18.380 -18.498     ;9.5651    ;2.234      ;6.104    ;5.932    ;     ~   
1503;* 44 And                           ;PM*;017.5780850405900 +42.0814749963700;-135.569 -41.790    ;18.8145   ;-14.20     ;6.249    ;5.665    ;     ~   
1504;* tau And                          ;V* ;025.1450685463 +40.5770483972      ;   15.99 -23.76     ;4.58      ;-13.90     ;4.85     ;4.94     ;4.95     
1505;NAME Titawin                       ;PM*;024.1993397682946 +41.4054587133414;-171.892 -381.815   ;74.1940   ;-28.662    ;4.64     ;4.10     ;3.64     
1506;* 55 And                           ;*  ;028.3222680326000 +40.7297904207200; -10.028 -3.966     ;4.4983    ;-7.59      ;6.714    ;5.394    ;     ~   
1507;* 58 And                           ;PM*;032.1219166096 +37.8590794772      ;  154.36 -42.76     ;17.04     ;7.60       ;4.94     ;4.82     ;4.68     
1508;* 14 Tri                           ;SB*;038.0257073797400 +36.1472725764900;  45.066 11.901     ;7.5319    ;-39.54     ;6.627    ;5.144    ;     ~   
1509;* 17 Per                           ;PM*;042.8784889413600 +35.0597397044300;  9.479 -62.744     ;7.7762    ;13.21      ;6.10     ;4.53     ;3.32     
1510;* 24 Per                           ;*  ;044.7653201772600 +35.1831308980900;  -46.308 6.614     ;9.0501    ;-36.97     ;6.170    ;4.930    ;     ~   
1511;* 66 Cnc                           ;*  ;135.3505407573100 +32.2522960969000;    0.723 0.276     ;7.0133    ;-12.8      ;5.940    ;5.870    ;     ~   
1512;* tau Cnc                          ;*  ;137.0002089067200 +29.6542321328000;  -32.199 2.640     ;12.0346   ;-13.938    ;6.316    ;5.420    ;     ~   
1513;* 75 Cnc                           ;SB*;137.1972127294721 +26.6291158994686;-138.947 -371.029   ;32.0163   ;-13.730    ;6.62     ;5.95     ;5.5      
1514;* nu. Cnc                          ;SB*;135.6844487992200 +24.4528867285000;  -4.801 -1.621     ;7.2947    ;-15.60     ;5.404    ;5.447    ;     ~   
1515;NAME Nahn                          ;SB*;137.3397547845100 +22.0454383668500;   -3.147 9.159     ;8.004     ;-7.70      ;6.123    ;5.149    ;     ~   
1516;* kap Cnc                          ;a2*;136.9367064754900 +10.6681998852300;-18.312 -12.105     ;5.3209    ;24.50      ;5.13     ;5.24     ;     ~   
1517;* ome Hya                          ;*  ;136.4932074356700 +05.0923260299900; -21.393 -9.590     ;5.3609    ;27.32      ;6.219    ;4.981    ;     ~   
1518;* 19 Hya                           ;*  ;137.1757544003500 -08.5895333428000; -21.201 -0.520     ;4.8717    ;23.4       ;5.537    ;5.609    ;     ~   
1519;* 20 Hya                           ;*  ;137.3982072395600 -08.7876484712000; -17.023 -7.063     ;5.861     ;26.0       ;6.47     ;5.46     ;     ~   
1520;* kap Pyx                          ;*  ;137.0119994267500 -25.8585378806300;   34.972 0.197     ;6.239     ;-44.7      ;6.17     ;4.56     ;3.32     
1521;* eps Pyx                          ;*  ;137.4850400688900 -30.3654001318900; -2.990 -48.949     ;15.2089   ;-9.70      ;5.765    ;5.593    ;     ~   
1522;* 38 Lyn                           ;PM*;139.71101600 +36.80259252          ; -32.33 -125.64     ;26.13     ;4.0        ;3.96     ;3.92     ;     ~   
1523;* 19 UMa                           ;HB*;138.8093579780800 +34.6335163937900;-158.757 48.322     ;8.8431    ;54.50      ;     ~   ;     ~   ;5.5      
1524;* alf Lyn                          ;PM*;140.2637508770291 +34.3925592893489;-218.723 16.555     ;14.7042   ;38.47      ;4.69     ;3.14     ;1.91     
1525;* pi.01 Cnc                        ;SB*;138.0731141884760 +14.9960489455841;-523.619 244.282    ;49.1493   ;49.99      ;7.24     ;6.51     ;5.90     
1526;* pi.02 Cnc                        ;*  ;138.8077171376300 +14.9415088841700;-41.018 -11.304     ;5.6869    ;27.47      ;6.664    ;5.348    ;     ~   
1527;* tet Hya                          ;SB*;138.5910836298175 +02.3143199766406;134.386 -322.143    ;27.0704   ;-10.70     ;3.82     ;     ~   ;3.9      
1528;* 23 Hya                           ;SB*;139.1739119719500 -06.3531444179100;   18.862 3.121     ;9.3779    ;-17.58     ;6.413    ;5.230    ;     ~   
1529;* 24 Hya                           ;*  ;139.1723614649800 -08.7447583502000;  -17.359 0.577     ;4.1533    ;8.10       ;5.396    ;5.468    ;     ~   
1530;* 27 Hya                           ;*  ;140.1209106900 -09.5556959511      ;  -12.48 -27.37     ;14.66     ;25.60      ;5.750    ;4.811    ;     ~   
1531;* 26 Hya                           ;** ;139.9432568947900 -11.9748527477000; -27.970 12.400     ;9.4514    ;-1.18      ;5.703    ;4.770    ;     ~   
1532;* tet Pyx                          ;*  ;140.3732929611600 -25.9654406299200; -12.860 -9.792     ;5.096     ;20.0       ;6.33     ;4.72     ;3.32     
1533;* 8 LMi                            ;PM*;142.8850435278500 +35.1032720424300;-54.488 -97.434     ;6.6271    ;40.11      ;6.90     ;5.37     ;     ~   
1534;* 7 LMi                            ;PM*;142.6801127079200 +33.6557138525300;-23.939 -48.160     ;7.0542    ;1.7        ;6.885    ;5.857    ;     ~   
1535;* kap Leo                          ;** ;141.1635780821 +26.1823236031      ;  -31.64 -48.20     ;16.20     ;28.00      ;5.69     ;4.46     ;3.55     
1536;NAME Alterf                        ;V* ;142.9301147300 +22.9679695553      ;  -20.17 -39.47     ;9.91      ;24.27      ;5.85     ;4.31     ;3.09     
1537;* ksi Leo                          ;PM*;142.9864207233500 +11.2998217991600;-101.446 -82.543    ;14.2602   ;35.83      ;6.015    ;4.963    ;     ~   
1538;* 6 Leo                            ;*  ;142.9899041851900 +09.7157653147900; -8.974 -12.737     ;5.2776    ;18.55      ;6.44     ;5.07     ;     ~   
1539;* 3 Leo                            ;*  ;142.1215585533500 +08.1883055670100;-26.193 -32.383     ;7.1461    ;17.77      ;6.753    ;5.713    ;     ~   
1540;* tau02 Hya                        ;*  ;142.9955247736100 -01.1846713524800; -11.906 -2.198     ;5.5119    ;3.90       ;4.644    ;4.548    ;     ~   
1541;* tau01 Hya                        ;SB*;142.2872140254600 -02.7689394543100;116.374 -31.265     ;54.9187   ;10.484     ;5.06     ;4.60     ;     ~   
1542;* 28 Hya                           ;*  ;141.3501461867600 -05.1173951780700; -12.080 -6.419     ;4.0923    ;5.3        ;7.082    ;5.579    ;     ~   
1543;NAME Alphard                       ;*  ;141.89684460 -08.65859953          ;   -15.23 34.37     ;18.09     ;-4.561     ;3.42     ;1.97     ;0.93     
1544;* G Hya                            ;PM*;141.8267187649600 -22.3437270895500;178.235 -178.053    ;18.5521   ;29.05      ;5.83     ;4.69     ;     ~   
1545;* lam Pyx                          ;PM*;140.8010429063300 -28.8338613514300;-126.913 23.116     ;17.0726   ;10.80      ;5.59     ;4.68     ;3.97     
1546;* zet02 Ant                        ;*  ;142.8839789673200 -31.8718098634700; -46.727 -9.036     ;8.8101    ;19.80      ;6.163    ;5.899    ;     ~   
1547;* eps Ant                          ;*  ;142.3113319867 -35.9513353986      ;    -24.69 5.04     ;4.59      ;22.2       ;5.95     ;4.51     ;3.50     
1548;* 10 LMi                           ;RS*;143.5557576867900 +36.3975580620400;  6.989 -22.729     ;17.0738   ;-11.94     ;5.47     ;4.60     ;     ~   
1549;* 11 LMi                           ;RS*;143.9145924739025 +35.8101325142153;-726.514 -259.057   ;89.0092   ;14.420     ;6.110    ;5.340    ;4.79     
1550;* f Leo                            ;PM*;145.8885831791200 +29.9744766382100;-16.946 -102.252    ;19.9483   ;15.6       ;5.735    ;5.621    ;     ~   
1551;* 8 Leo                            ;*  ;144.2607565298100 +16.4379518162100; -14.459 -3.358     ;2.9769    ;6.41       ;6.950    ;5.732    ;     ~   
1552;* psi Leo                          ;V* ;145.9329451054200 +14.0217030831900;   1.614 -2.014     ;5.3048    ;11.52      ;6.98     ;5.35     ;     ~   
1553;NAME Subra                         ;SB*;145.2876376996 +09.8923083842      ; -143.20 -37.20     ;25.03     ;26.18      ;4.01     ;3.52     ;3.11     
1554;* 10 Leo                           ;SB*;144.3028305924300 +06.8358224536600; -67.135 -8.899     ;12.9379   ;12.16      ;6.050    ;5.009    ;     ~   
1555;* 2 Sex                            ;PM*;144.6137022018196 +04.6492927677767;-164.812 -50.933    ;10.3358   ;44.85      ;6.00     ;4.68     ;3.62     
1556;NAME Ukdah                         ;PM*;144.9640060237 -01.1428093031      ;   46.96 -62.39     ;12.39     ;24.19      ;5.23     ;3.91     ;2.92     
1557;* 33 Hya                           ;PM*;143.6360316741100 -05.9149501185400;  9.308 -58.066     ;6.4986    ;12.6       ;6.717    ;5.548    ;     ~   
1558;* kap Hya                          ;V* ;145.0765206637 -14.3322965108      ;  -23.41 -21.10     ;7.48      ;20.60      ;4.909    ;5.052    ;     ~   
1559;* I Hya                            ;Be*;145.3208638296 -23.5915148383      ;    -29.29 2.70     ;6.44      ;25.9       ;4.65     ;4.76     ;4.75     
1560;* tet Ant                          ;** ;146.0503963187 -27.7694725153      ;   -53.23 37.24     ;9.61      ;24.00      ;5.29     ;4.79     ;4.32     
1561;NAME Rasalas                       ;PM*;148.1909022646 +26.0069533006      ; -217.31 -54.26     ;26.28     ;13.647     ;5.10     ;3.88     ;2.97     
1562;* g Leo                            ;PM*;147.9708485328500 +24.3952615607900;30.555 -151.823     ;27.1345   ;-1.80      ;     ~   ;     ~   ;5.2      
1563;* eps Leo                          ;V* ;146.4628054183 +23.7742557872      ;   -45.61 -9.21     ;13.22     ;4.322      ;3.79     ;2.98     ;2.36     
1564;* 18 Leo                           ;*  ;146.5971971333200 +11.8100432356400; -16.084 17.619     ;4.4601    ;29.42      ;7.142    ;5.644    ;     ~   
1565;* 7 Sex                            ;PM*;148.0506841651600 +02.4541292362500;-183.327 94.912     ;4.9887    ;103.00     ;5.98     ;     ~   ;6.0      
1566;NAME Zhang                         ;*  ;147.8695576567 -14.8466030639      ;   18.88 -21.85     ;12.36     ;-14.34     ;5.03     ;4.11     ;3.42     
1567;* 21 LMi                           ;dS*;151.8573456575 +35.2446934639      ;     52.90 0.62     ;35.41     ;-11.40     ;4.67     ;4.49     ;4.31     
1568;* 20 LMi                           ;PM*;150.2527369843309 +31.9236702818992;-528.871 -429.376   ;66.9958   ;55.96      ;6.02     ;     ~   ;4.9      
1569;* eta Leo                          ;*  ;151.8331327525 +16.7626611861      ;    -2.80 -1.82     ;2.57      ;1.40       ;3.39     ;3.41     ;3.32     
1570;* nu. Leo                          ;SB*;149.5557315446 +12.4448018033      ;  -25.66 -15.56     ;6.53      ;14.4       ;5.212    ;5.260    ;     ~   
1571;* 10 Sex                           ;PM*;149.10823279 +08.93315578          ;   -85.54 19.77     ;5.63      ;7.64       ;6.985    ;5.848    ;     ~   
1572;* pi. Leo                          ;V* ;150.0533578758 +08.0442231178      ;  -31.41 -22.15     ;8.03      ;22.30      ;6.30     ;4.70     ;3.27     
1573;* ups02 Hya                        ;V* ;151.2811203338 -13.0646266981      ;   -39.39 19.65     ;10.40     ;24.30      ;4.500    ;4.588    ;     ~   
1574;* eta Ant                          ;PM*;149.7178142625500 -35.8909728992000;-89.728 -15.945     ;30.0499   ;30.00      ;5.508    ;5.222    ;     ~   
1575;* 23 LMi                           ;PM*;154.0601255205900 +29.3104743154200;-70.765 -22.844     ;11.6971   ;16.4       ;5.500    ;5.488    ;     ~   
1576;* 35 Leo                           ;PM*;154.1345384426100 +23.5031129903900;-200.342 32.030     ;33.7721   ;-33.80     ;6.64     ;     ~   ;5.6      
1577;NAME Adhafera                      ;V* ;154.1725665329 +23.4173116889      ;    18.39 -6.84     ;11.90     ;-21.40     ;3.72     ;3.41     ;3.09     
1578;* 37 Leo                           ;*  ;154.1697399438300 +13.7283344176600;-22.829 -14.784     ;4.805     ;5.14       ;7.02     ;5.41     ;     ~   
1579;* 31 Leo                           ;PM*;151.9761254861525 +09.9975068749342;-82.021 -64.844     ;11.0209   ;39.84      ;5.82     ;4.38     ;3.26     
1580;NAME Regulus                       ;PM*;152.09296244 +11.96720878          ;   -248.73 5.59     ;41.13     ;5.9        ;1.24     ;1.40     ;1.37     
1581;* 19 Sex                           ;PM*;153.2015192472100 +04.6146771548000; -50.538 -6.118     ;6.3184    ;32.37      ;6.957    ;5.781    ;     ~   
1582;* alf Sex                          ;*  ;151.9845156950100 -00.3716703684900; -13.060 -9.669     ;7.6582    ;10.00      ;4.45     ;4.49     ;     ~   
1583;* eps Sex                          ;PM*;154.4075083221 -08.0689138333      ;   -160.57 2.91     ;16.86     ;15.2       ;5.559    ;5.240    ;     ~   
1584;* 18 Sex                           ;V* ;152.7327530910700 -08.4184590805700; -0.115 -43.987     ;5.8416    ;0.2        ;6.942    ;5.618    ;     ~   
1585;* 17 Sex                           ;Ae*;152.5314149275 -08.4081654136      ;   -30.60 -1.00     ;5.47      ;21.00      ;5.911    ;5.901    ;     ~   
1586;* lam Hya                          ;SB*;152.6470357548103 -12.3541274788236;-217.433 -74.373    ;30.0232   ;19.4       ;4.61     ;3.61     ;2.84     
1587;NAME Tania Australis               ;SB*;155.5822490246 +41.4995191958      ;   -81.47 35.34     ;14.16     ;-21.30     ;4.64     ;3.05     ;1.76     
1588;* bet LMi                          ;SB*;156.9708316646 +36.7072100106      ;-127.68 -110.31     ;21.19     ;8.52       ;5.11     ;4.21     ;3.52     
1589;* 27 LMi                           ;*  ;155.7763708476100 +33.9081423975400; -12.314 -4.941     ;13.2063   ;-15.00     ;6.040    ;5.900    ;     ~   
1590;* 30 LMi                           ;Pe*;156.4783972854 +33.7961197100      ;  -73.66 -59.21     ;13.98     ;13.70      ;4.978    ;4.718    ;     ~   
1591;* 28 LMi                           ;*  ;156.0358496126900 +33.7185296928100; -14.460 -2.770     ;6.7945    ;-23.76     ;6.706    ;5.503    ;     ~   
1592;NAME Algieba                       ;** ;154.99312733 +19.84148522          ; 304.30 -154.28     ;25.07     ;-36.24     ;3.79     ;2.37     ;     ~   
1593;* 40 Leo                           ;dS*;154.9340300522767 +19.4709127684828;-230.589 -214.069   ;47.1255   ;6.237      ;5.24     ;     ~   ;4.5      
1594;* 45 Leo                           ;a2*;156.9124538411100 +09.7623916681000;   8.101 -5.169     ;7.7772    ;-7.80      ;5.98     ;6.04     ;     ~   
1595;* 44 Leo                           ;LP*;156.3133145688400 +08.7848438459800; 10.652 -39.025     ;4.0462    ;-21.23     ;7.23     ;5.61     ;     ~   
1596;* del Sex                          ;PM*;157.3695953551504 -02.7390757814033;-49.127 -13.023     ;9.4160    ;19.00      ;5.130    ;5.180    ;     ~   
1597;* 25 Sex                           ;a2*;155.8603259389700 -04.0740328393400;  -50.818 4.114     ;9.4414    ;23.00      ;5.87     ;5.97     ;     ~   
